"year_month","payment_type","order_count","total_revenue","avg_order_value","updated_at"
"2016-09","credit_card",1,136.23,136.23,"2026-05-28 06:44:25"
"2016-09","unknown",1,0,0,"2026-05-28 06:44:25"
"2016-10","boleto",53,7749.66,146.22,"2026-05-28 06:44:25"
"2016-10","credit_card",212,39448.43,186.07750000000001,"2026-05-28 06:44:25"
"2016-10","debit_card",2,241.73,120.865,"2026-05-28 06:44:25"
"2016-10","voucher",6,373.64,62.27333333333333,"2026-05-28 06:44:25"
"2016-12","credit_card",1,19.62,19.62,"2026-05-28 06:44:25"
"2017-01","boleto",189,22753.55,120.38915343915343,"2026-05-28 06:44:25"
"2017-01","credit_card",553,104635.94,189.2150813743219,"2026-05-28 06:44:25"
"2017-01","debit_card",9,743.53,82.61444444444444,"2026-05-28 06:44:25"
"2017-01","voucher",15,2377.1,158.47333333333333,"2026-05-28 06:44:25"
"2017-02","boleto",379,54758.95,144.48271767810024,"2026-05-28 06:44:25"
"2017-02","credit_card",1249,216244.62,173.13420336269016,"2026-05-28 06:44:25"
"2017-02","debit_card",13,1510.32,116.17846153846153,"2026-05-28 06:44:25"
"2017-02","voucher",34,3109.85,91.46617647058824,"2026-05-28 06:44:25"
"2017-03","boleto",577,77292.99,133.95665511265165,"2026-05-28 06:44:25"
"2017-03","credit_card",1923,332190.13,172.74577743109725,"2026-05-28 06:44:25"
"2017-03","debit_card",30,3510.32,117.01066666666667,"2026-05-28 06:44:25"
"2017-03","voucher",61,5984.83,98.11196721311475,"2026-05-28 06:44:25"
"2017-04","boleto",481,71869.2,149.4162162162162,"2026-05-28 06:44:25"
"2017-04","credit_card",1790,315616.85,176.3222625698324,"2026-05-28 06:44:25"
"2017-04","debit_card",25,2657.71,106.3084,"2026-05-28 06:44:25"
"2017-04","voucher",57,7454.8,130.78596491228072,"2026-05-28 06:44:25"
"2017-05","boleto",752,125589,167.00664893617022,"2026-05-28 06:44:25"
"2017-05","credit_card",2738,438881.3,160.2926588750913,"2026-05-28 06:44:25"
"2017-05","debit_card",29,2850.79,98.30310344827586,"2026-05-28 06:44:25"
"2017-05","voucher",82,8785.33,107.13817073170732,"2026-05-28 06:44:25"
"2017-06","boleto",699,106385.49,152.19669527896997,"2026-05-28 06:44:25"
"2017-06","credit_card",2380,378397.09,158.99037394957983,"2026-05-28 06:44:25"
"2017-06","debit_card",27,2424.17,89.78407407407407,"2026-05-28 06:44:25"
"2017-06","voucher",76,8861.76,116.6021052631579,"2026-05-28 06:44:25"
"2017-07","boleto",823,113389.81,137.77619684082623,"2026-05-28 06:44:25"
"2017-07","credit_card",2979,448536.21,150.56603222557905,"2026-05-28 06:44:25"
"2017-07","debit_card",21,2279.32,108.53904761904762,"2026-05-28 06:44:25"
"2017-07","voucher",105,10836.66,103.20628571428571,"2026-05-28 06:44:25"
"2017-08","boleto",908,128176.77,141.1638436123348,"2026-05-28 06:44:25"
"2017-08","credit_card",3193,512883.67,160.62751957406826,"2026-05-28 06:44:25"
"2017-08","debit_card",33,3067.95,92.96818181818182,"2026-05-28 06:44:25"
"2017-08","voucher",100,8290.92,82.9092,"2026-05-28 06:44:25"
"2017-09","boleto",877,127486.14,145.36618015963512,"2026-05-28 06:44:25"
"2017-09","credit_card",3180,566460.89,178.13235534591195,"2026-05-28 06:44:25"
"2017-09","debit_card",43,4690.36,109.07813953488372,"2026-05-28 06:44:25"
"2017-09","voucher",88,9984.01,113.45465909090909,"2026-05-28 06:44:25"
"2017-10","boleto",960,135678.73,141.3320104166667,"2026-05-28 06:44:25"
"2017-10","credit_card",3403,605532.24,177.94071113723186,"2026-05-28 06:44:25"
"2017-10","debit_card",52,5776.57,111.08788461538461,"2026-05-28 06:44:25"
"2017-10","voucher",96,10576.16,110.16833333333334,"2026-05-28 06:44:25"
"2017-11","boleto",1459,216700.68,148.5268540095956,"2026-05-28 06:44:25"
"2017-11","credit_card",5718,929425.45,162.5438002798181,"2026-05-28 06:44:25"
"2017-11","debit_card",67,6016.38,89.79671641791045,"2026-05-28 06:44:25"
"2017-11","voucher",117,10007.77,85.53649572649573,"2026-05-28 06:44:25"
"2017-12","boleto",1147,162236,141.44376634699216,"2026-05-28 06:44:25"
"2017-12","credit_card",4261,669903.49,157.21743487444263,"2026-05-28 06:44:25"
"2017-12","debit_card",63,6951.66,110.34380952380953,"2026-05-28 06:44:25"
"2017-12","voucher",99,11610.88,117.28161616161616,"2026-05-28 06:44:25"
"2018-01","boleto",1485,199402.82,134.27799326599327,"2026-05-28 06:44:25"
"2018-01","credit_card",5395,860271.43,159.45716960148286,"2026-05-28 06:44:25"
"2018-01","debit_card",109,11543.55,105.90412844036696,"2026-05-28 06:44:25"
"2018-01","voucher",154,19242.12,124.94883116883116,"2026-05-28 06:44:25"
"2018-02","boleto",1308,180772.75,138.20546636085626,"2026-05-28 06:44:25"
"2018-02","credit_card",5121,776219.49,151.57576449912128,"2026-05-28 06:44:25"
"2018-02","debit_card",68,7444.75,109.48161764705883,"2026-05-28 06:44:25"
"2018-02","voucher",115,13741.52,119.49147826086957,"2026-05-28 06:44:25"
"2018-03","boleto",1339,188924.53,141.09374906646752,"2026-05-28 06:44:25"
"2018-03","credit_card",5586,927794.36,166.0927962764053,"2026-05-28 06:44:25"
"2018-03","debit_card",77,8271.26,107.41896103896104,"2026-05-28 06:44:25"
"2018-03","voucher",134,16308.5,121.70522388059702,"2026-05-28 06:44:25"
"2018-04","boleto",1281,192756,150.47306791569088,"2026-05-28 06:44:25"
"2018-04","credit_card",5391,935070.04,173.45020218883326,"2026-05-28 06:44:25"
"2018-04","debit_card",94,10383.24,110.46,"2026-05-28 06:44:25"
"2018-04","voucher",131,14590.34,111.37664122137404,"2026-05-28 06:44:25"
"2018-05","boleto",1249,192688.3,154.2740592473979,"2026-05-28 06:44:25"
"2018-05","credit_card",5399,920675.35,170.52701426190035,"2026-05-28 06:44:25"
"2018-05","debit_card",50,9561.789999999999,191.23579999999998,"2026-05-28 06:44:25"
"2018-05","voucher",105,14746.880000000001,140.4464761904762,"2026-05-28 06:44:25"
"2018-06","boleto",1097,152860.73,139.34432999088423,"2026-05-28 06:44:25"
"2018-06","credit_card",4753,817524.14,172.0017126025668,"2026-05-28 06:44:25"
"2018-06","debit_card",180,35649.33,198.05183333333335,"2026-05-28 06:44:25"
"2018-06","voucher",112,14033.33,125.29758928571428,"2026-05-28 06:44:25"
"2018-07","boleto",1209,194324.94,160.73196029776676,"2026-05-28 06:44:25"
"2018-07","credit_card",4668,789424.08,169.11398457583547,"2026-05-28 06:44:25"
"2018-07","debit_card",238,39524.93,166.07113445378153,"2026-05-28 06:44:25"
"2018-07","voucher",104,12813.3,123.20480769230768,"2026-05-28 06:44:25"
"2018-08","boleto",1128,142363.24,126.20854609929077,"2026-05-28 06:44:25"
"2018-08","credit_card",4896,794999.04,162.37725490196078,"2026-05-28 06:44:25"
"2018-08","debit_card",276,45932.26,166.421231884058,"2026-05-28 06:44:25"
"2018-08","voucher",98,10538.36,107.53428571428572,"2026-05-28 06:44:25"
"2018-09","voucher",1,166.46,166.46,"2026-05-28 06:44:25"
